Date,Open,High,Low,Close,Volume,Adj Close
2011-04-30 15:00:00,9964.3896484375,10017.4697265625,9406.0400390625,9693.73046875,2475600000,9693.73046875
2011-05-31 15:00:00,9708.0498046875,9849.6904296875,9318.6201171875,9816.08984375,2889600000,9816.08984375
2011-06-30 15:00:00,9878.6904296875,10207.91015625,9824.33984375,9833.0302734375,2450800000,9833.0302734375
2011-07-31 15:00:00,9907.0400390625,10040.1298828125,8619.2099609375,8955.2001953125,3428500000,8955.2001953125
2011-08-31 15:00:00,9017.009765625,9098.150390625,8359.7001953125,8700.2900390625,2664200000,8700.2900390625
2011-09-30 15:00:00,8567.98046875,9152.3896484375,8343.009765625,8988.3896484375,2371900000,8988.3896484375
2011-10-31 15:00:00,8880.75,8946.0,8135.7900390625,8434.6103515625,2276100000,8434.6103515625
2011-11-30 15:00:00,8581.2001953125,8729.8095703125,8272.259765625,8455.349609375,2086100000,8455.349609375
2011-12-31 15:00:00,8549.5400390625,8911.6201171875,8349.330078125,8802.509765625,2153800000,8802.509765625
2012-01-31 15:00:00,8789.0595703125,9866.41015625,8780.099609375,9723.240234375,3455900000,9723.240234375
2012-02-29 15:00:00,9771.33984375,10255.150390625,9509.099609375,10083.5595703125,3340600000,10083.5595703125
2012-03-31 15:00:00,10161.7197265625,10190.349609375,9388.1396484375,9520.8896484375,2547300000,9520.8896484375
2012-04-30 15:00:00,9471.66015625,9472.25,8455.1298828125,8542.73046875,2713200000,8542.73046875
2012-05-31 15:00:00,8465.4697265625,9044.0400390625,8238.9599609375,9006.7802734375,2548800000,9006.7802734375
2012-06-30 15:00:00,9103.7900390625,9136.01953125,8328.01953125,8695.0595703125,2457400000,8695.0595703125
2012-07-31 15:00:00,8622.0400390625,9222.8701171875,8513.2001953125,8839.91015625,2571500000,8839.91015625
2012-08-31 15:00:00,8836.6103515625,9288.5302734375,8646.0302734375,8870.16015625,2403400000,8870.16015625
2012-09-30 15:00:00,8815.0703125,9075.58984375,8488.1396484375,8928.2900390625,2738800000,8928.2900390625
2012-10-31 15:00:00,8931.7099609375,9492.91015625,8619.4501953125,9446.009765625,2687500000,9446.009765625
2012-11-30 15:00:00,9484.2001953125,10433.6298828125,9376.9697265625,10395.1796875,3432700000,10395.1796875
2012-12-31 15:00:00,10604.5,11145.3798828125,10398.6103515625,11138.66015625,4335800000,11138.66015625
2013-01-31 15:00:00,11193.7197265625,11662.51953125,11046.919921875,11559.3603515625,5299900000,11559.3603515625
2013-02-28 15:00:00,11464.7099609375,12650.259765625,11464.7099609375,12397.91015625,4251700000,12397.91015625
2013-03-31 15:00:00,12371.33984375,13983.8701171875,11805.7802734375,13860.8603515625,6211600000,13860.8603515625
2013-04-30 15:00:00,13837.7197265625,15942.599609375,13555.66015625,13774.5400390625,7190600000,13774.5400390625
2013-05-31 15:00:00,13551.3603515625,13724.4404296875,12415.849609375,13677.3203125,4755100000,13677.3203125
2013-06-30 15:00:00,13746.7197265625,14953.2900390625,13562.7001953125,13668.3203125,4145700000,13668.3203125
2013-07-31 15:00:00,13674.5,14466.16015625,13188.1396484375,13388.8603515625,3158800000,13388.8603515625
2013-08-31 15:00:00,13438.0703125,14817.5,13407.5302734375,14455.7998046875,2908600000,14455.7998046875
