Date,Open,High,Low,Close,Adj Close,Volume,PE_Ratio,CAPE,Dividend_Yield
2014-07-31,1962.290039,1991.390015,1930.670044,1930.670044,1930.670044,66524690000,18.960000,25.820000,1.910000
2014-08-31,1929.800049,2005.040039,1904.780029,2003.369995,2003.369995,58131140000,18.680000,25.620000,1.940000
2014-09-30,2004.069946,2019.260010,1964.040039,1972.290039,1972.290039,66706000000,18.810000,25.920000,1.930000
2014-10-31,1971.439941,2018.189941,1820.660034,2018.050049,2018.050049,93714040000,18.500000,25.160000,2.000000
2014-11-30,2018.209961,2075.760010,2001.010010,2067.560059,2067.560059,63600190000,19.750000,26.610000,1.910000
2014-12-31,2065.780029,2093.550049,1972.560059,2058.899902,2058.899902,80743820000,20.080000,26.790000,1.920000
2015-01-31,2058.899902,2072.360107,1988.119995,1994.989990,1994.989990,77330040000,20.020000,26.490000,1.970000
2015-02-28,1996.670044,2119.590088,1980.900024,2104.500000,2104.500000,68775560000,20.770000,27.000000,1.940000
2015-03-31,2105.229980,2117.520020,2039.689941,2067.889893,2067.889893,76675850000,20.960000,26.730000,1.960000
2015-04-30,2067.629883,2125.919922,2048.379883,2085.510010,2085.510010,72060940000,21.420000,26.790000,1.960000
2015-05-31,2087.379883,2134.719971,2067.929932,2107.389893,2107.389893,65187730000,21.920000,26.810000,1.960000
2015-06-30,2108.639893,2129.870117,2056.320068,2063.110107,2063.110107,73213980000,22.120000,26.500000,1.990000
2015-07-31,2067.000000,2132.820068,2044.020020,2103.840088,2103.840088,77920590000,22.400000,26.380000,2.010000
2015-08-31,2104.489990,2112.659912,1867.010010,1972.180054,1972.180054,84626790000,22.150000,25.690000,2.070000
2015-09-30,1970.089966,2020.859985,1871.910034,1920.030029,1920.030029,79989370000,21.450000,24.500000,2.190000
2015-10-31,1919.650024,2094.320068,1893.699951,2079.360107,2079.360107,85844900000,22.680000,25.490000,2.110000
2015-11-30,2080.760010,2116.479980,2019.390015,2080.409912,2080.409912,75943590000,23.670000,26.230000,2.070000
2015-12-31,2082.929932,2104.270020,1993.260010,2043.939941,2043.939941,83649260000,23.740000,25.970000,2.110000
2016-01-31,2038.199951,2038.199951,1812.290039,1940.239990,1940.239990,92409770000,22.180000,24.210000,2.270000
2016-02-29,1936.939941,1962.959961,1810.099976,1932.229980,1932.229980,93049560000,22.020000,24.000000,2.300000
2016-03-31,1937.089966,2072.209961,1937.089966,2059.739990,2059.739990,92639420000,23.390000,25.370000,2.170000
2016-04-30,2056.620117,2111.050049,2033.800049,2065.300049,2065.300049,81124990000,23.970000,25.920000,2.120000
2016-05-31,2067.169922,2103.479980,2025.910034,2096.949951,2096.949951,78883600000,23.810000,25.690000,2.140000
2016-06-30,2093.939941,2120.550049,1991.680054,2098.860107,2098.860107,86852700000,23.970000,25.840000,2.130000
2016-07-31,2099.340088,2177.090088,2074.020020,2173.600098,2173.600098,69530250000,24.520000,26.690000,2.080000
2016-08-31,2173.149902,2193.810059,2147.580078,2170.949951,2170.949951,75610310000,24.570000,26.950000,2.070000
2016-09-30,2171.330078,2187.870117,2119.120117,2168.270020,2168.270020,77023620000,24.220000,26.730000,2.090000
2016-10-31,2164.330078,2169.600098,2114.719971,2126.149902,2126.149902,72915530000,23.570000,26.530000,2.110000
2016-11-30,2128.679932,2214.100098,2083.790039,2198.810059,2198.810059,88445380000,23.350000,26.850000,2.100000
2016-12-31,2200.169922,2277.530029,2187.439941,2238.830078,2238.830078,75344550000,23.760000,27.870000,2.030000
2017-01-31,2251.570068,2300.989990,2245.129883,2278.870117,2278.870117,70576420000,23.590000,28.060000,2.020000
2017-02-28,2285.590088,2371.540039,2271.649902,2363.639893,2363.639893,69260940000,23.680000,28.660000,1.980000
2017-03-31,2380.129883,2400.979980,2322.250000,2362.719971,2362.719971,81664010000,23.600000,29.090000,1.960000
2017-04-30,2362.340088,2398.159912,2328.949951,2384.199951,2384.199951,65369860000,23.240000,28.900000,1.980000
2017-05-31,2388.500000,2418.709961,2352.719971,2411.800049,2411.800049,79719460000,23.310000,29.310000,1.960000
2017-06-30,2415.649902,2453.820068,2405.699951,2423.409912,2423.409912,81078810000,23.400000,29.750000,1.940000
2017-07-31,2431.389893,2484.040039,2407.699951,2470.300049,2470.300049,63348090000,23.360000,30.000000,1.940000
2017-08-31,2477.100098,2490.870117,2417.350098,2471.649902,2471.649902,70784900000,23.160000,29.910000,1.950000
2017-09-30,2474.419922,2519.439941,2446.550049,2519.360107,2519.360107,66624120000,23.280000,30.170000,1.930000
2017-10-31,2521.199951,2582.979980,2520.399902,2575.260010,2575.260010,71088550000,23.670000,30.920000,1.890000
2017-11-30,2583.209961,2657.739990,2557.449951,2647.580078,2647.580078,73416960000,23.810000,31.300000,1.880000
2017-12-31,2645.100098,2694.969971,2605.520020,2673.610107,2673.610107,65531700000,24.250000,32.090000,1.840000
2018-01-31,2683.729980,2872.870117,2682.360107,2823.810059,2823.810059,77318690000,24.970000,33.310000,1.770000
2018-02-28,2816.449951,2835.959961,2532.689941,2713.830078,2713.830078,79933970000,23.820000,32.040000,1.840000
2018-03-31,2715.219971,2801.899902,2585.889893,2640.870117,2640.870117,76803890000,23.410000,31.810000,1.850000
2018-04-30,2633.449951,2717.489990,2553.800049,2648.050049,2648.050049,70194700000,22.530000,30.970000,1.900000
2018-05-31,2642.959961,2742.239990,2594.620117,2705.270020,2705.270020,76011820000,22.490000,31.240000,1.880000
2018-06-30,2718.699951,2791.469971,2691.989990,2718.370117,2718.370117,77891360000,22.490000,31.630000,1.850000
2018-07-31,2704.949951,2848.030029,2698.949951,2816.290039,2816.290039,64898300000,22.330000,31.890000,1.840000
2018-08-31,2821.169922,2916.500000,2796.340088,2901.520020,2901.520020,69523070000,22.370000,32.390000,1.820000
2018-09-30,2896.959961,2940.909912,2864.120117,2913.979980,2913.979980,63031510000,22.250000,32.620000,1.800000
2018-10-31,2926.290039,2939.860107,2603.540039,2711.739990,2711.739990,91930980000,21.250000,31.040000,1.900000
2018-11-30,2717.580078,2815.149902,2631.090088,2760.169922,2760.169922,80620020000,20.670000,30.200000,1.960000
2018-12-31,2790.500000,2800.179932,2346.580078,2506.850098,2506.850098,84162180000,19.390000,28.290000,2.090000
2019-01-31,2476.959961,2708.949951,2443.959961,2704.100098,2704.100098,80859870000,19.600000,28.380000,2.080000
2019-02-28,2702.320068,2813.489990,2681.830078,2784.489990,2784.489990,70638770000,20.600000,29.540000,1.980000
2019-03-31,2798.219971,2860.310059,2722.270020,2834.399902,2834.399902,79159660000,20.860000,29.580000,1.960000
2019-04-30,2848.629883,2949.520020,2848.629883,2945.830078,2945.830078,70090370000,21.560000,30.130000,1.900000
2019-05-31,2952.330078,2954.129883,2750.520020,2752.060059,2752.060059,77250740000,21.150000,29.240000,1.950000
2019-06-30,2751.530029,2964.149902,2728.810059,2941.760010,2941.760010,71250630000,21.370000,29.280000,1.940000
2019-07-31,2971.409912,3027.979980,2952.219971,2980.379883,2980.379883,70599470000,22.280000,29.990000,1.880000
2019-08-31,2980.320068,3013.590088,2822.120117,2926.459961,2926.459961,80269220000,21.670000,28.710000,1.960000
2019-09-30,2909.010010,3021.989990,2891.850098,2976.739990,2976.739990,74178980000,22.440000,29.230000,1.920000
2019-10-31,2983.689941,3050.100098,2855.939941,3037.560059,3037.560059,77720640000,22.040000,28.840000,1.930000
2019-11-30,3050.719971,3154.260010,3050.719971,3140.979980,3140.979980,72410620000,22.620000,29.840000,1.860000
2019-12-31,3143.850098,3247.929932,3070.330078,3230.780029,3230.780029,72325540000,22.780000,30.330000,1.830000
2020-01-31,3244.669922,3337.770020,3214.639893,3225.520020,3225.520020,77287980000,24.880000,30.990000,1.790000
2020-02-29,3235.659912,3393.520020,2855.840088,2954.219971,2954.219971,84436590000,26.420000,30.730000,1.800000
2020-03-31,2974.280029,3136.719971,2191.860107,2584.590088,2584.590088,162185380000,22.800000,24.820000,2.250000
2020-04-30,2498.080078,2954.860107,2447.489990,2912.429932,2912.429932,123608160000,24.970000,25.930000,2.160000
2020-05-31,2869.090088,3068.669922,2766.639893,3044.310059,3044.310059,107135190000,27.820000,27.330000,2.040000
